type,raid_group_name,member_name,character_name,character_class,character_is_alt,character_inactive_at,character_note,sort_order,item_name,item_id,is_offspec,note,received_at,import_id,item_note,item_prio_note,item_tier,item_tier_label,created_at,updated_at
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Shoulderpads of the Intruder",45245,0,,"2023-04-20 20:38:02",,,,,2,,"2023-04-20 20:38:02",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,Bladetwister,45484,1,,"2023-04-27 00:00:00",,,,,2,,"2023-04-27 20:49:39",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Pendulum of Infinity",45517,0,,"2023-04-27 00:00:00",,,,,2,,"2023-04-27 20:49:39",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,Malice,45266,0,,"2023-05-04 20:33:56",1683224032-12-Beanbe,,,,3,,"2023-05-04 20:33:56",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Legguards of Cunning Deception",45536,0,,"2023-05-25 00:00:00",1685045296-48-Beanbe,,,,1,,"2023-05-25 21:31:37",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Golden Saronite Dragon",45132,0,,"2023-06-01 00:00:00",1685640561-6-Beanbea,,,,1,,"2023-06-01 21:31:20",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,0,"Delirium's Touch",45494,0,,"2023-06-01 00:00:00",1685648779-30-Beanbe,,,,2,,"2023-06-01 21:31:20",
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,1,"Fool's Trial",40065,0,,"2023-01-12 22:17:41",1673550671-41-Beanbe,,,,,,"2023-01-12 22:17:41","2023-01-13 23:50:47"
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,2,"Drape of the Deadly Foe",40403,0,,"2023-01-05 21:44:10",1672952769-57-Beanbe,,,,,,"2023-01-05 21:44:10","2023-01-13 23:50:47"
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,3,"Webbed Death",39714,0,,"2023-01-05 21:44:10",1672950177-26-Beanbe,,,,,,"2023-01-05 21:44:10","2023-01-13 23:50:47"
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,4,"Breastplate of the Lost Vanquisher",40627,1,,"2023-01-03 00:00:00",34573775204253236792,,,,,,"2023-01-05 18:52:09","2023-01-13 23:50:47"
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,5,"Calamity's Grasp",40383,0,,"2023-01-03 00:00:00",34848661764253236792,,,,,,"2023-01-05 18:52:09","2023-01-13 23:50:47"
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,6,"Sinner's Bindings",39765,0,,"2023-01-03 00:00:00",40698598134253236792,,,,,,"2023-01-05 18:52:09","2023-01-13 23:50:47"
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,7,"Crown of the Lost Vanquisher",40633,0,,"2022-12-08 00:00:00",1670534526-61-Beanbe,,,,,,"2022-12-08 22:00:26","2023-01-13 23:50:47"
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,8,Dawnwalkers,39701,0,,"2022-11-10 00:00:00",166811648739701-Bean,,,,,,"2022-11-10 22:24:03","2023-01-13 23:50:47"
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,9,"Legplates of the Lost Vanquisher",40636,0,,"2022-11-10 00:00:00",166811197640636-Bean,,,,,,"2022-11-10 22:24:03","2023-01-13 23:50:47"
received,"Main raid",Beanbean,Beanbean,Rogue,0,,,10,"Mantle of the Lost Vanquisher",40639,0,,"2022-11-03 00:00:00",166750881040639-Bean,,,,,,"2022-11-03 22:46:29","2023-01-13 23:50:47"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,"Sigil of the Vengeful Heart",45254,0,,"2023-01-26 00:00:00",1674762217-13-Bloody,,,,1,,"2023-01-26 22:08:29",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,"Warhelm of the Champion",45472,0,,"2023-01-26 00:00:00",1674770561-39-Bloody,,,,1,,"2023-01-26 22:08:29",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,"Girdle of Embers",45161,0,,"2023-02-09 00:00:00",1675970408-4-Bloodyj,,,,3,,"2023-02-09 22:29:06",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,"Sigil of Deflection",45144,1,,"2023-02-09 00:00:00",1675970794-7-Bloodyj,,,,3,,"2023-02-09 22:29:06",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,"Breastplate of the Wayward Vanquisher",45634,1,,"2023-03-09 00:00:00",1678394564-27-Bloody,,,,3,,"2023-03-09 22:02:12",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,"Shoulderplates of the Deconstructor",45251,0,,"2023-03-16 22:15:13",1678992371-12-Bloody,,,,3,,"2023-03-16 22:15:13",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,"Belt of Colossal Rage",45241,0,,"2023-03-16 22:15:13",1678993708-20-Bloody,,,,1,,"2023-03-16 22:15:13",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,"Gauntlets of the Wayward Vanquisher",45643,0,,"2023-03-16 22:15:13",1678999953-23-Bloody,,,,3,,"2023-03-16 22:15:13",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,"Mantle of the Wayward Vanquisher",45658,0,,"2023-03-26 00:00:00",1679858499-1-Bloodyj,,,,3,,"2023-03-26 21:00:07",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,Titanguard,45110,1,,"2023-03-30 00:00:00",1680200220-4-Bloodyj,,,,2,,"2023-03-30 20:49:41",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,"Crown of the Wayward Vanquisher",45640,1,,"2023-03-30 00:00:00",1680203929-40-Bloody,,,,3,,"2023-03-30 20:49:41",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,"Sabatons of Lifeless Night",45599,0,,"2023-04-02 00:00:00",1680460605-0-Bloodyj,,,,1,,"2023-04-12 17:52:43",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,"Gauntlets of Ruthless Reprisal",45481,0,,"2023-04-13 00:00:00",1681416639-34-Bloody,,,,1,,"2023-04-13 21:13:55",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,0,"Seal of the Betrayed King",45534,0,,"2023-04-16 00:00:00",1681671272-7-Bloodyj,,,,1,,"2023-04-16 19:01:56",
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,1,"Sand-Worn Band",40107,0,,"2022-12-15 00:00:00",1671130176-17-Bloody,,,,,,"2022-12-15 21:45:06","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,2,"Last Laugh",40402,0,,"2022-12-15 00:00:00",1671135120-23-Bloody,,,,,,"2022-12-15 21:45:06","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,3,"Girdle of Chivalry",40278,0,,"2022-12-08 00:00:00",1670528522-20-Bloody,,,,,,"2022-12-08 22:00:26","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,4,Heritage,40069,0,,"2022-12-08 00:00:00",1670529143-28-Bloody,,,,,,"2022-12-08 22:00:26","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,5,"Cloak of the Shadowed Sun",40252,1,,"2022-11-24 00:00:00",1669320525-10-Bloody,,,,,,"2022-11-24 21:48:02","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,6,"Aged Winter Cloak",40250,0,,"2022-11-24 00:00:00",1669322561-41-Bloody,,,,,,"2022-11-24 21:48:02","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,7,"Dragonstorm Breastplate",44000,1,,"2022-11-24 00:00:00",1669318962-2-Bloodyj,,,,,,"2022-11-24 21:48:02","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,8,"Mantle of the Lost Vanquisher",40639,0,,"2022-11-24 00:00:00",1669322547-39-Bloody,,,,,,"2022-11-24 21:48:02","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,9,"Legplates of the Lost Vanquisher",40636,1,,"2022-11-17 00:00:00",1668715422-26-Bloody,,,,,,"2022-11-17 21:57:26","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,10,"Crown of the Lost Vanquisher",40633,0,,"2022-11-17 00:00:00",1668718651-69-Bloody,,,,,,"2022-11-17 21:57:26","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,11,"Riveted Abomination Leggings",40294,0,,"2022-10-27 00:00:00",166690171740294-Bloo,,,,,,"2022-10-27 21:12:41","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,12,"Sabatons of Sudden Reprisal",39706,0,,"2022-10-27 00:00:00",166690155939706-Bloo,,,,,,"2022-10-27 21:12:41","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,13,"Breastplate of the Lost Vanquisher",40627,0,,"2022-10-20 00:00:00",166629746840627-Bloo,,,,,,"2022-10-21 08:22:41","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,14,"Heroic Key to the Focusing Iris",44577,0,,"2022-10-20 00:00:00",166629733144577-Bloo,,,,,,"2022-10-21 08:22:41","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,15,Ruthlessness,40075,0,,"2022-10-20 00:00:00",166629078740075-Bloo,,,,,,"2022-10-21 08:22:41","2023-01-26 12:34:34"
received,"Main raid",Pjoey,Bloodyjoey,"Death Knight",0,,,16,"Grim Toll",40256,0,,"2022-10-13 00:00:00",166569175040256-Bloo,,,,,,"2022-10-21 08:22:05","2023-01-26 12:34:34"
received,"Main raid",Bripos,Bripos,Warlock,0,,,0,"Punctilious Bindings",39731,1,,"2023-01-19 20:46:00",1674155446-10-Bripos,,,,,,"2023-01-19 20:46:00",
received,"Main raid",Bripos,Bripos,Warlock,0,,,0,"Accursed Spine",40192,0,,"2023-01-19 20:46:00",1674158077-55-Bripos,,,,,,"2023-01-19 20:46:00",
received,"Main raid",Bripos,Bripos,Warlock,0,,,0,"Staff of Restraint",40455,1,,"2023-01-19 20:46:00",1674159997-77-Bripos,,,,,,"2023-01-19 20:46:00",
received,"Main raid",Bripos,Bripos,Warlock,0,,,0,"Leash of Heedless Magic",40561,0,,"2023-01-19 20:46:00",1674160448-78-Bripos,,,,,,"2023-01-19 20:46:00",
received,"Main raid",Bripos,Bripos,Warlock,0,,,0,"Leggings of Lost Love",45468,0,,"2023-01-22 00:00:00",1674422729-33-Bripos,,,,3,,"2023-01-24 08:44:19",
received,"Main raid",Bripos,Bripos,Warlock,0,,,1,"Crown of the Lost Conqueror",40631,0,,"2023-01-12 22:17:41",1673553301-70-Bripos,,,,,,"2023-01-12 22:17:41","2023-01-14 15:04:25"
received,"Main raid",Bripos,Bripos,Warlock,0,,,2,"Haunting Call",40408,0,,"2023-01-12 22:17:41",1673548591-13-Bripos,,,,,,"2023-01-12 22:17:41","2023-01-14 15:04:25"
received,"Main raid",Bripos,Bripos,Warlock,0,,,3,"Mantle of Dissemination",40555,0,,"2022-12-08 00:00:00",1670535790-5-Bripos,,,,,,"2022-12-08 22:00:26","2023-01-14 15:04:25"
received,"Main raid",Bripos,Bripos,Warlock,0,,,4,"Dying Curse",40255,0,,"2022-12-08 00:00:00",1670531791-49-Bripos,,,,,,"2022-12-08 22:00:26","2023-01-14 15:04:25"
received,"Main raid",Bripos,Bripos,Warlock,0,,,5,"Life and Death",40336,0,,"2022-12-01 00:00:00",1669923827-27-Bripos,,,,,,"2022-12-01 22:48:29","2023-01-14 15:04:25"
received,"Main raid",Bripos,Bripos,Warlock,0,,,6,"Thunderstorm Amulet",40064,0,,"2022-11-24 00:00:00",1669322483-38-Bripos,,,,,,"2022-11-24 21:48:02","2023-01-14 15:04:25"
received,"Main raid",Bripos,Bripos,Warlock,0,,,7,"Gemmed Wand of the Nerubians",39712,0,,"2022-11-24 00:00:00",1669321353-29-Bripos,,,,,,"2022-11-24 21:48:02","2023-01-14 15:04:25"
received,"Main raid",Bripos,Bripos,Warlock,0,,,8,"Legplates of the Lost Conqueror",40634,0,,"2022-11-24 00:00:00",1669321207-25-Bripos,,,,,,"2022-11-24 21:48:02","2023-01-14 15:04:25"
received,"Main raid",Bripos,Bripos,Warlock,0,,,9,"Cape of the Unworthy Wizard",40405,0,,"2022-10-27 00:00:00",166690136740405-Brip,,,,,,"2022-10-27 21:12:41","2023-01-14 15:04:25"
received,"Main raid",Bripos,Bripos,Warlock,0,,,10,"Lost Jewel",40080,0,,"2022-10-27 00:00:00",166690041140080-Brip,,,,,,"2022-10-27 21:12:41","2023-01-14 15:04:25"
received,"Main raid",Bripos,Bripos,Warlock,0,,,11,"Belt of False Dignity",39735,0,,"2022-10-20 00:00:00",166629378939735-Brip,,,,,,"2022-10-21 08:22:41","2023-01-14 15:04:25"
received,"Main raid",Bripos,Bripos,Warlock,0,,,12,"Distorted Limbs",40060,0,,"2022-10-20 00:00:00",166629412540060-Brip,,,,,,"2022-10-21 08:22:41","2023-01-14 15:04:25"
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Cowl of the Absolute",45435,1,,"2023-01-26 00:00:00",1674764392-23-Brittl,,,,6,,"2023-01-26 22:08:29",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Legplates of the Wayward Conqueror",45653,0,,"2023-01-26 00:00:00",1674765912-32-Brittl,,,,2,,"2023-01-26 22:08:29",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Grips of Chaos",45549,1,,"2023-02-02 00:00:00",1675371819-29-Brittl,,,,4,,"2023-02-02 22:14:50",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Gauntlets of the Wayward Conqueror",45641,0,,"2023-02-02 00:00:00",1675375562-35-Brittl,,,,3,,"2023-02-02 22:14:50",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Grasps of Reason",45446,0,,"2023-02-09 00:00:00",1675973216-11-Brittl,,,,2,,"2023-02-09 22:29:06",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Pattern: Sash of Ancient Power",45102,1,,"2023-02-16 00:00:00",1676578483-22-Brittl,,,,6,,"2023-02-16 22:02:11",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Phaelia's Vestments of the Sprouting Seed",45237,0,,"2023-02-23 00:00:00",1677180498-18-Brittl,,,,3,,"2023-02-23 22:16:44",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Drape of the Sullen Goddess",45486,0,,"2023-02-23 00:00:00",1677184268-36-Brittl,,,,2,,"2023-02-23 22:16:44",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Sanity's Bond",45530,0,,"2023-02-26 00:00:00",1677444090-12-Brittl,,,,3,,"2023-02-26 21:48:33",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Show of Faith",45535,0,,"2023-03-12 00:00:00",,,,,1,,"2023-03-12 21:12:59",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Formula: Enchant Weapon - Blood Draining",46348,0,,"2023-03-16 22:15:13",1678991154-7-Brittly,,,,2,,"2023-03-16 22:15:13",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Quartz Crystal Wand",45257,0,,"2023-03-16 22:15:13",1678992413-14-Brittl,,,,3,,"2023-03-16 22:15:13",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Pendant of Focused Energies",45539,1,,"2023-03-30 00:00:00",1680202845-32-Brittl,,,,3,,"2023-03-30 20:49:41",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Breastplate of the Wayward Conqueror",45632,1,,"2023-03-30 00:00:00",1680203288-34-Brittl,,,,3,,"2023-03-30 20:49:41",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Spiderlord Belt",36275,0,,"2023-03-30 00:00:00",1680204057-41-Brittl,,,,,,"2023-03-30 20:49:41",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Mantle of the Wayward Conqueror",45656,0,,"2023-03-30 00:00:00",1680209059-61-Brittl,,,,3,,"2023-03-30 20:49:41",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,Cosmos,45617,0,,"2023-04-16 00:00:00",1681669735-4-Brittly,,,,1,,"2023-04-16 19:01:56",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,Constellus,45612,0,,"2023-04-23 00:00:00",1682272580-0-Brittly,,,,2,,"2023-04-23 20:33:23",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Breastplate of the Wayward Conqueror",45632,0,,"2023-04-23 00:00:00",1682273817-12-Brittl,,,,3,,"2023-04-23 20:33:23",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Belt of the Darkspeaker",45508,0,,"2023-04-23 00:00:00",1682276124-19-Brittl,,,,4,,"2023-04-23 20:33:23",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Soot-Covered Mantle",45186,1,,"2023-04-27 00:00:00",,,,,3,,"2023-04-27 20:49:39",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Webspinner Shoulderguards",36169,0,,"2023-04-27 00:00:00",,,,,,,"2023-04-27 20:49:39",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Formula: Enchant Weapon - Blade Ward",46027,0,,"2023-04-27 00:00:00",,,,,3,,"2023-04-27 20:49:39",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Seduced Blade",36682,0,,"2023-04-27 00:00:00",,,,,,,"2023-04-27 20:49:39",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Webspinner Bindings",36170,0,,"2023-04-27 00:00:00",,,,,,,"2023-04-27 20:49:39",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Breastplate of the Wayward Conqueror",45632,1,,"2023-04-27 00:00:00",,,,,3,,"2023-04-27 20:49:39",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Legplates of the Wayward Conqueror",45653,1,,"2023-04-27 00:00:00",,,,,2,,"2023-04-27 20:49:39",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,0,"Gauntlets of the Wayward Conqueror",45641,1,,"2023-04-27 00:00:00",,,,,3,,"2023-04-27 20:49:39",
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,1,"Legplates of the Lost Conqueror",40634,0,,"2023-01-19 20:46:00",1674158064-52-Brittl,,,,,,"2023-01-19 20:46:00","2023-01-22 14:15:56"
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,2,"Mantle of the Lost Conqueror",40637,1,,"2023-01-19 20:46:00",1674157869-45-Brittl,,,,,,"2023-01-19 20:46:00","2023-01-22 14:15:56"
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,3,"Hood of Rationality",40562,0,,"2023-01-19 20:46:00",1674160533-82-Brittl,,,,,,"2023-01-19 20:46:00","2023-01-22 14:15:56"
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,4,"Breastplate of the Lost Conqueror",40625,0,,"2023-01-12 22:17:41",1673551945-53-Brittl,,,,,,"2023-01-12 22:17:41","2023-01-22 14:15:56"
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,5,"Bindings of the Expansive Mind",40325,1,,"2023-01-12 22:17:41",1673547071-3-Sugarhe,,,,,,"2023-01-12 22:17:41","2023-01-22 14:15:56"
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,6,"Legplates of the Lost Conqueror",40634,0,,"2023-01-12 22:17:41",1673552431-62-Brittl,,,,,,"2023-01-12 22:17:41","2023-01-22 14:15:56"
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,7,"Extract of Necromantic Power",40373,0,,"2023-01-05 21:44:10",1672951997-51-Brittl,,,,,,"2023-01-05 21:44:10","2023-01-22 14:15:56"
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,8,"Crown of the Lost Conqueror",40631,0,,"2023-01-03 00:00:00",32677593721431002542,,,,,,"2023-01-05 18:52:09","2023-01-22 14:15:56"
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,9,"Torch of Holy Fire",40395,0,,"2022-12-08 00:00:00",1670535782-4-Brittly,,,,,,"2022-12-08 22:00:26","2023-01-22 14:15:56"
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,10,"Breastplate of the Lost Conqueror",40625,1,,"2022-11-24 00:00:00",1669324105-62-Brittl,,,,,,"2022-11-24 21:48:02","2023-01-22 14:15:56"
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,11,"Dragon Hide Bag",43345,0,,"2022-11-24 00:00:00",1669318715-0-Brittly,,,,,,"2022-11-24 21:48:02","2023-01-22 14:15:56"
received,"Main raid",Brittlyn,Brittlyn,Priest,0,,,12,"Lost Jewel",40080,1,,"2022-11-24 00:00:00",1669321345-28-Brittl,,,,,,"2022-11-24 21:48:02","2023-01-22 14:15:56"
